text,duration,text_length
Eradan əvvəl üçüncü-ikinci minilliklər.,2.65,39
Yarpaqlar titrəşdi.,1.25,19
"Söylədiklərinizi təsdiq eləyirəm, lakin düşmən vətənin üstünə hücum elədikdə döşlərini verib onu müdafiə eləyən kimdir?",7.89,119
Nizənin ipini kütükdən açıb balığın qəlsəmələrindən keçirtdi.,4.03,61
"Yalnız axşamdan səhərə asudə gəzə bilərik, anladın?",3.02,51
Dunyanın sırf zengin olduğu için Pietr ile evlenme teklifini kabul ettiğini biliyorum.,4.5,86
Paranızı Sonya'nın çaldığından nasıl bu kadar emin olabiliyorsunuz ha?,2.61,70
Hərəkətlərinizin də onları əks etdirərək istəklərinizə qarşı gəlmədiyinə əmin olun.,4.66,83
Siz onun en yakın arkadaşısınız.,1.77,32
Yarpaqlar artıq xışıldaşmırdı.,1.65,30
San Giusto kilsəsi hardadır?,1.64,28
Dövlət proqramına dünyanın 19 ölkəsində 94 ali təhsil müəssisəsi üzrə 1147 namizəd müraciət edib.,6.1,97
"Yox, əlimdən qaça bilməz!",1.51,25
"Balıq dözürsə, mən də bacardıqca dözməliyəm.",3.22,44
"İndiyə kimi hansı təhlükələrlə qarşılaşdığını, nə çətinliklərə sinə gərdiyini gözlərindən oxumaq olardı.",6.336,104
Ölkə prezidenti Konstitusiyadan irəli gələn bəzi məsələlərin həlli üçün fərman və sərəncamlar verir.,6.96,100
Hardansa uzaqlardan gələn bir əsim külək ağacların qol-budağından dalğa təki gəlib keçdi.,5.5,89
"Müsahibimiz deyir ki, qanun və qaydalar arasındakı fərqi bilmək önəmlidir.",4.66,74
"12, 11, bir qədər gözlədikdən sonra yenidən saymağa başladı.",6.35,60
Mehmanxana sahibinin haqqını ödədi və körpüyə tərəf üz tutduq.,2.99,62
